"","month","consumi","mese","anno","0040: beni intermedi","0050: beni strumentali","0060: beni di consumo durevoli","0070: beni di consumo - non durevoli","0080: beni di consumo","0090: energia","0020: TOTALE INDUSTRIA ESCLUSE COSTRUZIONI (b-e)","B: estrazione di minerali da cave e miniere","C: attività manifatturiere","D: fornitura di energia elettrica, gas, vapore e aria condizionata","consumi_deseas","indice","consumi_deseas2","predicted","consumi_deseas_scalati"
"34",2018-10-01,26882.383,10,2018,106.5,112.4,110,104.4,105.3,99,106.8,88.5,107.7,101.6,26988.351510706,106.8,728371117.265428,105.692298540092,107.953406042824
"35",2018-11-01,27284.305,11,2018,103.1,109.9,107.6,103.9,104.5,100.8,104.8,84.8,105.5,103.4,26686.0982259838,104.8,712147838.526856,105.118222762162,106.744392903935
"36",2018-12-01,27249.061,12,2018,105.1,111.5,108.3,101.8,102.8,100.1,105.3,91.6,105.9,102.5,27297.7909620949,105.3,745169391.41023,106.280023149741,109.19116384838
"37",2019-01-01,28475.845,1,2019,104,110.6,106.5,104.3,104.6,102.7,106.1,86.1,106.1,105.2,27205.8745454282,106.1,740159609.781581,106.105444440196,108.823498181713
"38",2019-02-01,25571.186,2,2019,104.6,111.5,108.1,107.4,107.5,99.2,106.9,88,107.5,103.8,26659.3021704282,106.9,710718392.2142,105.067328471791,106.637208681713
"39",2019-03-01,26426.999,3,2019,104.1,111.5,108,105,105.5,99,105.8,89.8,106.4,103,26406.5451287616,105.8,697305625.637321,104.587261909551,105.626180515046
"40",2019-04-01,24015.287,4,2019,103.2,109.2,106.3,103.9,104.3,102.4,105,86.5,105.4,106.5,27016.9582398727,105,729916032.535025,105.746631879482,108.067832959491
"41",2019-05-01,25211.772,5,2019,103.8,111.1,110,104.7,105.5,100.2,105.9,91.4,106.4,103.2,26505.1207259838,105.9,702521424.698976,104.774488535433,106.020482903935
"42",2019-06-01,27848.428,6,2019,103.2,111,108.8,103.3,104.1,102.4,105.4,86.7,105.8,105.9,27192.2574898727,105.4,739418867.395537,106.079581291121,108.769029959491
"43",2019-07-01,31479.123,7,2019,103,109.2,110.1,103.2,104.3,103.5,104.8,89.7,105.1,106.4,27935.7771461227,104.8,780407644.757831,107.491763214835,111.743108584491
"44",2019-08-01,26575.861,8,2019,102.5,109.9,111.2,103.3,104.5,102.5,105.1,87.6,105.1,106.3,27106.0417190394,105.1,734737497.674302,105.915829933526,108.424166876157
"45",2019-09-01,26674.869,9,2019,101.6,110.6,109,104.3,105,101.1,104.7,76.9,105.3,104.5,26695.001135706,104.7,712623085.635346,105.135132238694,106.780004542824
"46",2019-10-01,26453.169,10,2019,101.6,109.7,108.6,105,105.6,99.1,104.4,80.9,105,102.7,26559.137510706,104.4,705387785.312592,104.877083707357,106.236550042824
"47",2019-11-01,25863.757,11,2019,102.4,110.7,110.2,104.3,105.2,97,104.6,84.7,105.4,100.4,25265.5502259838,104.6,638348028.22171,102.420147209613,101.062200903935
"48",2019-12-01,25618.286,12,2019,99.6,108,107.7,101.7,102.6,94.6,101.8,82.4,102.9,97.7,25667.0159620949,101.8,658795708.398435,103.182659203426,102.66806384838
"49",2020-01-01,27441.669,1,2020,103,112.5,114.9,103.6,105.3,96,105.5,84.3,106.4,98.7,26171.6985454282,105.5,684957804.752771,104.141213043134,104.686794181713
"50",2020-02-01,25800.06,2,2020,101.9,112.5,110.9,103.1,104.3,98.6,104.2,91.9,105.3,97.6,26888.1761704282,104.2,722974017.771985,105.502033489864,107.552704681713
"51",2020-03-01,24383.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24363.3571287616,100.706593609668,593573170.583577,100.706593609668,97.4534285150463
"52",2020-04-01,20565.8441176471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23567.5153575197,99.1950352345297,555427780.126929,99.1950352345297,94.270061430079
