,ORA,CONSUNTIVO,PREVISIONE,DATA
0,01:00,"21,644","21,916",20/04/2020
1,02:00,"20,170","20,417",20/04/2020
2,03:00,"19,505","19,868",20/04/2020
3,04:00,"19,428","19,782",20/04/2020
4,05:00,"19,738","19,985",20/04/2020
5,06:00,"21,077","20,629",20/04/2020
6,07:00,"24,299","22,948",20/04/2020
7,08:00,"27,994","26,348",20/04/2020
8,09:00,"32,112","29,732",20/04/2020
9,10:00,"34,566","31,864",20/04/2020
10,11:00,"35,325","32,589",20/04/2020
11,12:00,"35,666","32,241",20/04/2020
12,13:00,"34,460","31,451",20/04/2020
13,14:00,"33,888","31,297",20/04/2020
14,15:00,"34,168","31,324",20/04/2020
15,16:00,"33,146","30,796",20/04/2020
16,17:00,"33,665","31,731",20/04/2020
17,18:00,"33,197","32,004",20/04/2020
18,19:00,"34,013","32,536",20/04/2020
19,20:00,"35,704","34,089",20/04/2020
20,21:00,"36,447","37,066",20/04/2020
21,22:00,"34,063","35,661",20/04/2020
22,23:00,"30,436","31,563",20/04/2020
23,24:00,"27,418","28,034",20/04/2020
24,Totale:,"712,129","685,871",20/04/2020
0,01:00,"23,773","23,163",18/04/2020
1,02:00,"22,201","21,473",18/04/2020
2,03:00,"21,517","20,577",18/04/2020
3,04:00,"21,077","20,097",18/04/2020
4,05:00,"20,956","19,969",18/04/2020
5,06:00,"21,424","20,428",18/04/2020
6,07:00,"21,312","20,721",18/04/2020
7,08:00,"22,439","21,781",18/04/2020
8,09:00,"24,802","24,350",18/04/2020
9,10:00,"26,179","26,256",18/04/2020
10,11:00,"26,338","26,797",18/04/2020
11,12:00,"26,431","26,929",18/04/2020
12,13:00,"26,594","26,348",18/04/2020
13,14:00,"25,748","25,478",18/04/2020
14,15:00,"25,597","24,692",18/04/2020
15,16:00,"24,628","23,967",18/04/2020
16,17:00,"25,389","24,357",18/04/2020
17,18:00,"26,212","25,232",18/04/2020
18,19:00,"27,182","26,035",18/04/2020
19,20:00,"30,115","28,254",18/04/2020
20,21:00,"31,552","31,285",18/04/2020
21,22:00,"28,940","28,916",18/04/2020
22,23:00,"26,218","26,286",18/04/2020
23,24:00,"23,827","23,676",18/04/2020
24,Totale:,"600,451","587,067",18/04/2020
0,01:00,"24,561","25,048",24/04/2020
1,02:00,"23,086","23,423",24/04/2020
2,03:00,"22,383","22,628",24/04/2020
3,04:00,"22,188","22,285",24/04/2020
4,05:00,"22,130","22,439",24/04/2020
5,06:00,"23,010","23,269",24/04/2020
6,07:00,"24,987","25,229",24/04/2020
7,08:00,"28,398","28,425",24/04/2020
8,09:00,"32,930","33,087",24/04/2020
9,10:00,"34,071","34,617",24/04/2020
10,11:00,"34,031","34,805",24/04/2020
11,12:00,"33,858","34,913",24/04/2020
12,13:00,"33,045","33,043",24/04/2020
13,14:00,"32,348","32,870",24/04/2020
14,15:00,"32,107","32,673",24/04/2020
15,16:00,"31,677","32,118",24/04/2020
16,17:00,"31,417","31,997",24/04/2020
17,18:00,"30,752","31,211",24/04/2020
18,19:00,"30,583","31,531",24/04/2020
19,20:00,"32,074","33,177",24/04/2020
20,21:00,"33,307","33,682",24/04/2020
21,22:00,"31,535","32,704",24/04/2020
22,23:00,"28,490","29,256",24/04/2020
23,24:00,"25,760","26,286",24/04/2020
24,Totale:,"698,728","710,716",24/04/2020
0,01:00,"21,917","22,340",19/04/2020
1,02:00,"20,535","21,055",19/04/2020
2,03:00,"19,654","20,225",19/04/2020
3,04:00,"19,173","19,566",19/04/2020
4,05:00,"19,226","19,561",19/04/2020
5,06:00,"19,547","20,145",19/04/2020
6,07:00,"19,163","19,402",19/04/2020
7,08:00,"18,892","19,344",19/04/2020
8,09:00,"20,311","20,770",19/04/2020
9,10:00,"22,575","22,712",19/04/2020
10,11:00,"23,949","24,963",19/04/2020
11,12:00,"25,611","26,111",19/04/2020
12,13:00,"26,106","26,525",19/04/2020
13,14:00,"24,257","24,798",19/04/2020
14,15:00,"23,680","24,009",19/04/2020
15,16:00,"22,591","23,528",19/04/2020
16,17:00,"22,625","22,445",19/04/2020
17,18:00,"22,520","22,371",19/04/2020
18,19:00,"24,138","23,590",19/04/2020
19,20:00,"26,993","25,248",19/04/2020
20,21:00,"29,346","29,773",19/04/2020
21,22:00,"27,907","28,735",19/04/2020
22,23:00,"25,450","25,678",19/04/2020
23,24:00,"23,296","23,146",19/04/2020
24,Totale:,"549,462","556,040",19/04/2020
0,01:00,"23,848","23,867",25/04/2020
1,02:00,"22,102","22,367",25/04/2020
2,03:00,"21,179","21,541",25/04/2020
3,04:00,"20,666","20,957",25/04/2020
4,05:00,"20,401","20,814",25/04/2020
5,06:00,"20,543","20,348",25/04/2020
6,07:00,"19,674","19,834",25/04/2020
7,08:00,"20,660","20,209",25/04/2020
8,09:00,"22,573","22,151",25/04/2020
9,10:00,"24,336","24,096",25/04/2020
10,11:00,"25,398","24,791",25/04/2020
11,12:00,"26,178","26,036",25/04/2020
12,13:00,"26,252","26,521",25/04/2020
13,14:00,"25,214","25,178",25/04/2020
14,15:00,"24,228","24,476",25/04/2020
15,16:00,"23,852","23,590",25/04/2020
16,17:00,"23,657","23,267",25/04/2020
17,18:00,"23,973","23,451",25/04/2020
18,19:00,"25,137","24,656",25/04/2020
19,20:00,"27,778","26,939",25/04/2020
20,21:00,"29,936","29,151",25/04/2020
21,22:00,"28,044","28,031",25/04/2020
22,23:00,"25,787","25,479",25/04/2020
23,24:00,"23,325","23,228",25/04/2020
24,Totale:,"574,741","570,978",25/04/2020
0,01:00,"24,201","23,783",17/04/2020
1,02:00,"22,631","22,322",17/04/2020
2,03:00,"21,740","21,634",17/04/2020
3,04:00,"21,419","21,441",17/04/2020
4,05:00,"21,599","21,310",17/04/2020
5,06:00,"22,397","21,942",17/04/2020
6,07:00,"24,519","24,189",17/04/2020
7,08:00,"27,316","26,133",17/04/2020
8,09:00,"30,600","29,473",17/04/2020
9,10:00,"32,127","31,066",17/04/2020
10,11:00,"32,831","31,659",17/04/2020
11,12:00,"32,896","31,696",17/04/2020
12,13:00,"32,136","31,530",17/04/2020
13,14:00,"31,563","31,186",17/04/2020
14,15:00,"31,460","31,246",17/04/2020
15,16:00,"30,212","30,380",17/04/2020
16,17:00,"30,023","30,680",17/04/2020
17,18:00,"30,034","30,406",17/04/2020
18,19:00,"30,346","30,346",17/04/2020
19,20:00,"32,614","32,241",17/04/2020
20,21:00,"34,078","34,264",17/04/2020
21,22:00,"31,886","32,045",17/04/2020
22,23:00,"28,978","29,029",17/04/2020
23,24:00,"26,180","26,212",17/04/2020
24,Totale:,"683,786","676,213",17/04/2020
0,01:00,"25,374","24,909",22/04/2020
1,02:00,"23,755","23,610",22/04/2020
2,03:00,"22,928","22,846",22/04/2020
3,04:00,"22,640","22,677",22/04/2020
4,05:00,"22,625","22,967",22/04/2020
5,06:00,"23,643","24,083",22/04/2020
6,07:00,"25,926","26,831",22/04/2020
7,08:00,"29,246","30,169",22/04/2020
8,09:00,"33,621","34,726",22/04/2020
9,10:00,"35,381","37,073",22/04/2020
10,11:00,"35,334","37,431",22/04/2020
11,12:00,"35,382","37,176",22/04/2020
12,13:00,"34,600","35,676",22/04/2020
13,14:00,"34,182","34,878",22/04/2020
14,15:00,"34,507","34,727",22/04/2020
15,16:00,"33,672","34,161",22/04/2020
16,17:00,"33,053","33,381",22/04/2020
17,18:00,"32,273","32,639",22/04/2020
18,19:00,"32,482","32,811",22/04/2020
19,20:00,"34,425","34,483",22/04/2020
20,21:00,"35,636","35,712",22/04/2020
21,22:00,"33,868","34,008",22/04/2020
22,23:00,"30,384","30,721",22/04/2020
23,24:00,"27,468","27,865",22/04/2020
24,Totale:,"732,405","745,560",22/04/2020
